Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,UNIT_MEASURE,Value
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,347.2
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,350.5
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,393.3
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,400.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,401.7
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,368.3
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,368.8
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,381.6
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dien Bien,Hectares,406.3
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,383.6
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,391.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,403.1
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,409.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,419.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,416.4
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,420.8
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,445.3
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lai Chau,Hectares,454.8
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,625.8
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,633.7
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,635.2
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,635.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,633.7
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,601.1
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,599.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,619.8
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Son La,Hectares,634.5
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,225.0
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,222.6
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,240.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,244.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,242.8
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,267.3
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,265.7
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,257.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Hoa Binh,Hectares,261.8
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,545.0
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,551.3
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,565.2
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,576.5
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,583.6
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,626.7
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,626.7
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,633.2
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thanh Hoa,Hectares,641.9
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,874.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,884.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,885.2
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,899.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,902.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,987.8
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,988.5
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,992.4
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Nghe An,Hectares,996.8
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,318.2
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,321.4
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,327.3
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,336.3
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,328.0
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,326.2
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,325.5
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,328.3
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ha Tinh,Hectares,328.9
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,548.3
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,549.5
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,574.9
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,555.6
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,561.6
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,563.4
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,591.4
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,585.2
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Binh,Hectares,585.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,226.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,229.8
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,231.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,236.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,241.1
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,242.3
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,254.3
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,253.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang Tri,Hectares,253.0
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,294.7
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,294.7
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,295.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,296.1
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,297.8
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,298.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,312.3
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,311.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Thua Thien-Hue,Hectares,311.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,51.3
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,59.9
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,59.9
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,56.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,54.9
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,58.1
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,62.6
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,62.8
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Da Nang,Hectares,63.6
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,512.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,513.8
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,517.1
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,546.2
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,550.3
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,552.1
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,680.4
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,680.6
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Nam,Hectares,682.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,250.1
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,255.6
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,261.6
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,277.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,294.1
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,310.2
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,344.9
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,334.3
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Quang  Ngai,Hectares,333.4
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,287.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,299.4
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,304.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,311.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,316.6
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,329.5
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,383.6
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,383.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Dinh,Hectares,380.6
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,178.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,181.7
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,181.4
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,182.0
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,183.5
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,194.6
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,232.2
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,231.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Phu Yen,Hectares,236.9
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,204.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,206.1
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,211.5
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,212.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,214.0
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,215.0
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,249.0
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,247.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Khanh  Hoa,Hectares,244.0
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,148.7
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,149.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,148.6
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,148.7
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,148.8
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,148.9
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,144.4
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,144.6
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ninh  Thuan,Hectares,155.4
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,286.6
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,300.5
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,300.1
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,295.6
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,292.9
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,326.4
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,326.2
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,326.1
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Thuan,Hectares,340.5
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,654.1
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,632.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,656.8
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,656.6
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,617.7
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,617.9
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,617.7
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,616.8
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Kon Tum,Hectares,621.1
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,719.8
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,719.5
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,720.6
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,719.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,627.9
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,627.0
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,625.9
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,632.2
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Gia Lai,Hectares,633.3
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,610.5
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,609.3
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,641.2
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,641.2
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,528.1
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,526.5
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,526.4
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,512.8
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Lak,Hectares,515.0
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,288.8
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,289.0
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,287.6
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,230.6
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,261.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,258.5
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,256.1
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,258.8
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dak Nong,Hectares,251.2
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,601.2
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,598.2
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,597.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,600.4
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,532.1
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,532.1
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,532.6
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,536.7
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Lam Dong,Hectares,539.4
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,116.7
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,116.5
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,160.6
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,160.3
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,160.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,159.3
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,161.2
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,160.6
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh Phuoc,Hectares,160.7
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,48.1
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,52.1
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,57.0
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,57.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,60.1
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,60.4
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,66.3
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,66.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Tay Ninh,Hectares,65.7
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,9.3
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,9.3
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,10.2
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,10.2
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,10.2
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,10.2
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,10.4
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,10.3
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Binh  Duong,Hectares,10.0
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,167.9
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,179.7
2012,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,178.7
2013,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,177.9
2014,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,185.4
2015,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,184.2
2016,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,182.3
2018,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,184.5
2019,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Dong Nai,Hectares,182.7
2010,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,26.7
2011,Normal value,Thousands,Not Available,Annual,National,Forest area (hectares) [15.1.1],Ba Ria - Vung Tau,Hectares,26.1
