Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,URBANISATION,UNIT_MEASURE,Value
2010,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,90.8
2012,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,91.7
2014,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,93.2
2016,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,92.8
2018,A,0,_X,A,N,EG_ACS_ELEC,15,,PT,95
2010,A,0,_X,A,N,EG_ACS_ELEC,19,,PT,99.9
2012,A,0,_X,A,N,EG_ACS_ELEC,19,,PT,99.9
2014,A,0,_X,A,N,EG_ACS_ELEC,19,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,19,,PT,99.9
2018,A,0,_X,A,N,EG_ACS_ELEC,19,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,20,,PT,92.2
2012,A,0,_X,A,N,EG_ACS_ELEC,20,,PT,86.3
2014,A,0,_X,A,N,EG_ACS_ELEC,20,,PT,89
2016,A,0,_X,A,N,EG_ACS_ELEC,20,,PT,96
2018,A,0,_X,A,N,EG_ACS_ELEC,20,,PT,99
2010,A,0,_X,A,N,EG_ACS_ELEC,24,,PT,99.5
2012,A,0,_X,A,N,EG_ACS_ELEC,24,,PT,99.2
2014,A,0,_X,A,N,EG_ACS_ELEC,24,,PT,100
2016,A,0,_X,A,N,EG_ACS_ELEC,24,,PT,99.9
2018,A,0,_X,A,N,EG_ACS_ELEC,24,,PT,100
2010,A,0,_X,A,N,EG_ACS_ELEC,25,,PT,97.5
2012,A,0,_X,A,N,EG_ACS_ELEC,25,,PT,97.4
2014,A,0,_X,A,N,EG_ACS_ELEC,25,,PT,99
2016,A,0,_X,A,N,EG_ACS_ELEC,25,,PT,99.8
2018,A,0,_X,A,N,EG_ACS_ELEC,25,,PT,99.9
2010,A,0,_X,A,N,EG_ACS_ELEC,11,,PT,76.1
2012,A,0,_X,A,N,EG_ACS_ELEC,11,,PT,75.5
2014,A,0,_X,A,N,EG_ACS_ELEC,11,,PT,84.5
2016,A,0,_X,A,N,EG_ACS_ELEC,11,,PT,80.5
2018,A,0,_X,A,N,EG_ACS_ELEC,11,,PT,94
2010,A,0,_X,A,N,EG_ACS_ELEC,12,,PT,69.4
2012,A,0,_X,A,N,EG_ACS_ELEC,12,,PT,55.8
2014,A,0,_X,A,N,EG_ACS_ELEC,12,,PT,72.6
2016,A,0,_X,A,N,EG_ACS_ELEC,12,,PT,89.1
2018,A,0,_X,A,N,EG_ACS_ELEC,12,,PT,89.8
2010,A,0,_X,A,N,EG_ACS_ELEC,14,,PT,79
2012,A,0,_X,A,N,EG_ACS_ELEC,14,,PT,73.8
2014,A,0,_X,A,N,EG_ACS_ELEC,14,,PT,90.2
2016,A,0,_X,A,N,EG_ACS_ELEC,14,,PT,88
2018,A,0,_X,A,N,EG_ACS_ELEC,14,,PT,93.6
2010,A,0,_X,A,N,EG_ACS_ELEC,17,,PT,99.3
2012,A,0,_X,A,N,EG_ACS_ELEC,17,,PT,99.6
2014,A,0,_X,A,N,EG_ACS_ELEC,17,,PT,97.1
2016,A,0,_X,A,N,EG_ACS_ELEC,17,,PT,99.8
2018,A,0,_X,A,N,EG_ACS_ELEC,17,,PT,99.7
2010,A,0,_X,A,N,EG_ACS_ELEC,38,,PT,97.2
2012,A,0,_X,A,N,EG_ACS_ELEC,38,,PT,98.2
2014,A,0,_X,A,N,EG_ACS_ELEC,38,,PT,97.1
2016,A,0,_X,A,N,EG_ACS_ELEC,38,,PT,98.7
2018,A,0,_X,A,N,EG_ACS_ELEC,38,,PT,98.3
2010,A,0,_X,A,N,EG_ACS_ELEC,40,,PT,93
2012,A,0,_X,A,N,EG_ACS_ELEC,40,,PT,92.6
