Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,UNIT_MEASURE,Value
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN_04,F,Y20T24,,PT,18.1
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN_05,F,Y20T24,,PT,4.0
2019,A,0,_X,A,N,SP_DYN_MRBF18,VN_06,F,Y20T24,,PT,9.7
2019,A,0,_X,A,N,SP_DYN_MRBF18,01,F,Y20T24,,PT,3.9
2019,A,0,_X,A,N,SP_DYN_MRBF18,26,F,Y20T24,,PT,9.8
2019,A,0,_X,A,N,SP_DYN_MRBF18,27,F,Y20T24,,PT,6.8
2019,A,0,_X,A,N,SP_DYN_MRBF18,22,F,Y20T24,,PT,9.9
2019,A,0,_X,A,N,SP_DYN_MRBF18,30,F,Y20T24,,PT,6.0
2019,A,0,_X,A,N,SP_DYN_MRBF18,31,F,Y20T24,,PT,5.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,33,F,Y20T24,,PT,8.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,34,F,Y20T24,,PT,6.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,35,F,Y20T24,,PT,9.0
2019,A,0,_X,A,N,SP_DYN_MRBF18,36,F,Y20T24,,PT,9.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,37,F,Y20T24,,PT,7.6
2019,A,0,_X,A,N,SP_DYN_MRBF18,02,F,Y20T24,,PT,30.1
2019,A,0,_X,A,N,SP_DYN_MRBF18,04,F,Y20T24,,PT,27.4
2019,A,0,_X,A,N,SP_DYN_MRBF18,06,F,Y20T24,,PT,26.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,08,F,Y20T24,,PT,19.8
2019,A,0,_X,A,N,SP_DYN_MRBF18,10,F,Y20T24,,PT,30.4
2019,A,0,_X,A,N,SP_DYN_MRBF18,15,F,Y20T24,,PT,26.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,19,F,Y20T24,,PT,7.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,20,F,Y20T24,,PT,15.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,24,F,Y20T24,,PT,8.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,25,F,Y20T24,,PT,11.6
2019,A,0,_X,A,N,SP_DYN_MRBF18,11,F,Y20T24,,PT,39.1
2019,A,0,_X,A,N,SP_DYN_MRBF18,12,F,Y20T24,,PT,38.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,14,F,Y20T24,,PT,37.1
2019,A,0,_X,A,N,SP_DYN_MRBF18,17,F,Y20T24,,PT,16.7
2019,A,0,_X,A,N,SP_DYN_MRBF18,38,F,Y20T24,,PT,9.4
2019,A,0,_X,A,N,SP_DYN_MRBF18,40,F,Y20T24,,PT,8.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,42,F,Y20T24,,PT,5.0
2019,A,0,_X,A,N,SP_DYN_MRBF18,44,F,Y20T24,,PT,7.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,45,F,Y20T24,,PT,11.6
2019,A,0,_X,A,N,SP_DYN_MRBF18,46,F,Y20T24,,PT,3.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,48,F,Y20T24,,PT,1.9
2019,A,0,_X,A,N,SP_DYN_MRBF18,49,F,Y20T24,,PT,6.7
2019,A,0,_X,A,N,SP_DYN_MRBF18,51,F,Y20T24,,PT,10.8
2019,A,0,_X,A,N,SP_DYN_MRBF18,52,F,Y20T24,,PT,7.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,54,F,Y20T24,,PT,12.8
2019,A,0,_X,A,N,SP_DYN_MRBF18,56,F,Y20T24,,PT,8.1
2019,A,0,_X,A,N,SP_DYN_MRBF18,58,F,Y20T24,,PT,14.0
2019,A,0,_X,A,N,SP_DYN_MRBF18,60,F,Y20T24,,PT,7.9
2019,A,0,_X,A,N,SP_DYN_MRBF18,62,F,Y20T24,,PT,19.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,64,F,Y20T24,,PT,27.1
2019,A,0,_X,A,N,SP_DYN_MRBF18,66,F,Y20T24,,PT,14.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,67,F,Y20T24,,PT,18.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,68,F,Y20T24,,PT,11.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,70,F,Y20T24,,PT,13.8
2019,A,0,_X,A,N,SP_DYN_MRBF18,72,F,Y20T24,,PT,9.8
2019,A,0,_X,A,N,SP_DYN_MRBF18,74,F,Y20T24,,PT,5.5
2019,A,0,_X,A,N,SP_DYN_MRBF18,75,F,Y20T24,,PT,4.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,77,F,Y20T24,,PT,5.7
2019,A,0,_X,A,N,SP_DYN_MRBF18,79,F,Y20T24,,PT,2.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,80,F,Y20T24,,PT,7.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,82,F,Y20T24,,PT,8.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,83,F,Y20T24,,PT,6.8
2019,A,0,_X,A,N,SP_DYN_MRBF18,84,F,Y20T24,,PT,10.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,86,F,Y20T24,,PT,7.2
2019,A,0,_X,A,N,SP_DYN_MRBF18,87,F,Y20T24,,PT,9.6
2019,A,0,_X,A,N,SP_DYN_MRBF18,89,F,Y20T24,,PT,14.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,91,F,Y20T24,,PT,11.4
2019,A,0,_X,A,N,SP_DYN_MRBF18,92,F,Y20T24,,PT,5.4
2019,A,0,_X,A,N,SP_DYN_MRBF18,93,F,Y20T24,,PT,11.3
2019,A,0,_X,A,N,SP_DYN_MRBF18,94,F,Y20T24,,PT,12.1
2019,A,0,_X,A,N,SP_DYN_MRBF18,95,F,Y20T24,,PT,11.0
2019,A,0,_X,A,N,SP_DYN_MRBF18,96,F,Y20T24,,PT,12.4
